key,title,type,status,sources
home,Trang chủ,page,RECOVERED_STRUCTURE,
about,Giới thiệu,page,RECONSTRUCTED,https://file.fpts.com.vn/FileStore2/File/2024/04/19/PCN_2024-4-19_00da403_BCTN_DMC_final_da_ky_so.pdf | https://asemconnectvietnam.gov.vn/Business.aspx?Biz_id=9923&ID1=1&ZID1=0
news,Tin tức,page,MISSING_BODY,
product,Sản phẩm,page,RECONSTRUCTED,https://pvchem.com.vn/uploaded/bao%20cao%20thuong%20nien%202015.pdf | https://www.pvn.vn/tong-cong-ty-dung-dich-khoan-va-hoa-pham-dau-khi-uu-tien-dau-tu-khoa-hoc-cong-nghe-3115 | https://asemconnectvietnam.gov.vn/Business.aspx?Biz_id=9923&ID1=1&ZID1=0
prod-main,Sản phẩm chủ yếu,page,RECONSTRUCTED,https://pvchem.com.vn/uploaded/bao%20cao%20thuong%20nien%202015.pdf | https://www.pvn.vn/tong-cong-ty-dung-dich-khoan-va-hoa-pham-dau-khi-uu-tien-dau-tu-khoa-hoc-cong-nghe-3115
prod-drilling,Hóa chất dung dịch khoan,page,RECONSTRUCTED,https://pvchem.com.vn/uploaded/bao%20cao%20thuong%20nien%202015.pdf | https://www.pvn.vn/tong-cong-ty-dung-dich-khoan-va-hoa-pham-dau-khi-uu-tien-dau-tu-khoa-hoc-cong-nghe-3115 | https://file.fpts.com.vn/FileStore2/File/2024/04/19/PCN_2024-4-19_00da403_BCTN_DMC_final_da_ky_so.pdf
prod-refinery,Sản phẩm lọc hóa dầu,page,RECONSTRUCTED,https://asemconnectvietnam.gov.vn/Business.aspx?Biz_id=9923&ID1=1&ZID1=0
prod-other,Sản phẩm khác,page,RECONSTRUCTED,https://asemconnectvietnam.gov.vn/Business.aspx?Biz_id=9923&ID1=1&ZID1=0 | https://file.fpts.com.vn/FileStore2/File/2024/04/19/PCN_2024-4-19_00da403_BCTN_DMC_final_da_ky_so.pdf
quality,Quản lý chất lượng,page,RECONSTRUCTED,https://file.fpts.com.vn/FileStore2/File/2024/04/19/PCN_2024-4-19_00da403_BCTN_DMC_final_da_ky_so.pdf
activities,Hoạt động,page,RECONSTRUCTED,https://file.fpts.com.vn/FileStore2/File/2024/04/19/PCN_2024-4-19_00da403_BCTN_DMC_final_da_ky_so.pdf | https://www.pvn.vn/dmc-no-luc-sang-tao-2996
business,Sản xuất kinh doanh,page,RECONSTRUCTED,https://www.pvn.vn/tong-cong-ty-dung-dich-khoan-va-hoa-pham-dau-khi-uu-tien-dau-tu-khoa-hoc-cong-nghe-3115
party,Đảng bộ Công ty,page,MISSING_BODY,
party-company,Đảng bộ Công ty DMC - MB,page,MISSING_BODY,
party-admin,Chi bộ khối Hành chính,page,MISSING_BODY,
party-prof,Chi bộ khối Nghiệp vụ,page,MISSING_BODY,
party-tech,Chi bộ khối Kỹ thuật,page,MISSING_BODY,
party-prod,Chi bộ khối Sản xuất,page,MISSING_BODY,
culture,Văn hóa thể thao,page,MISSING_BODY,
union,Công đoàn cơ sở,page,MISSING_BODY,
veterans,Hội Cựu chiến binh,page,MISSING_BODY,
youth,Đoàn thanh niên,page,MISSING_BODY,
ir,Quan hệ cổ đông,page,RECOVERED_STRUCTURE,
annual,Báo cáo thường niên,page,RECOVERED_STRUCTURE,
governance,Báo cáo tình hình quản trị,page,RECOVERED_STRUCTURE,
financial,Báo cáo tài chính,page,RECOVERED_STRUCTURE,
agm,Đại hội đồng cổ đông,page,RECOVERED_STRUCTURE,
stock,Cổ phiếu niêm yết,page,RECONSTRUCTED,https://portal.hnx.vn/vi-vn/ModuleIssuer/UC_Issuer/Details/PCN/UC
audit,Hợp đồng kiểm toán,page,RECOVERED_STRUCTURE,
customers,Khách hàng,page,RECOVERED_STRUCTURE,
customers-external,Đối tác nước ngoài,page,MISSING_BODY,
customers-domestic,Đối tác trong nước,page,MISSING_BODY,
customers-key,Khách hàng tiêu biểu,page,MISSING_BODY,
services,Dịch vụ,page,RECONSTRUCTED,https://pvchem.com.vn/uploaded/bao%20cao%20thuong%20nien%202015.pdf | https://file.fpts.com.vn/FileStore2/File/2024/04/19/PCN_2024-4-19_00da403_BCTN_DMC_final_da_ky_so.pdf
logistics,Một số hoạt động logistics,page,RECONSTRUCTED,https://pvchem.com.vn/uploaded/bao%20cao%20thuong%20nien%202015.pdf
rules,"Quy chế, nội quy",page,RECOVERED_STRUCTURE,
charter,Điều lệ,page,RECOVERED_STRUCTURE,
legacy-2019,Năm 2019,page,MISSING_BODY,
contact,Liên hệ,page,RECONSTRUCTED,https://file.fpts.com.vn/FileStore2/File/2024/04/19/PCN_2024-4-19_00da403_BCTN_DMC_final_da_ky_so.pdf | https://portal.hnx.vn/vi-vn/ModuleIssuer/UC_Issuer/Details/PCN/UC
home-agm-resolution-2020,"BIÊN BẢN, NGHỊ QUYẾT ĐẠI HỘI ĐỒNG CỔ ĐÔNG THƯỜNG NIÊN NĂM 2020",post,RECOVERED_HTML,
home-agm-invite-2020,Thư mời họp Đại hội đồng cổ đông thường niên năm 2020,post,RECOVERED_HTML,
home-agm-docs-2020,TÀI LIỆU HỌP ĐHĐCĐ THƯỜNG NIÊN NĂM 2020,post,RECOVERED_HTML,
home-record-date-2020,Thông báo số 22/DMCN-VP,post,RECOVERED_HTML,
fs-2018-q1,Báo cáo tài chính Quý I năm 2018,document,RECOVERED_LOCAL,
